[INFO] [2024-11-07 02:05:43,766] [DBTune-oltpbench_tatp_smac_ground_truth] Start new DBTune task
[INFO] [2024-11-07 02:05:44,370] [BO_Optimizer] === [BO auto selection] === acq_type: ei.
[INFO] [2024-11-07 02:05:44,374] [autotune] max_join_size with value of is larger than max, adjusted
[INFO] [2024-11-07 02:05:44,374] [autotune] [step 1] generate knobs: {'autocommit': 'ON', 'automatic_sp_privileges': 'ON', 'back_log': 900, 'binlog_cache_size': 32768, 'binlog_direct_non_transactional_updates': 'OFF', 'binlog_error_action': 'ABORT_SERVER', 'binlog_format': 'ROW', 'binlog_group_commit_sync_delay': 0, 'binlog_group_commit_sync_no_delay_count': 0, 'binlog_order_commits': 'ON', 'binlog_row_image': 'full', 'binlog_rows_query_log_events': 'OFF', 'binlog_stmt_cache_size': 32768, 'bulk_insert_buffer_size': 8388608, 'check_proxy_users': 'OFF', 'completion_type': 'NO_CHAIN', 'concurrent_insert': 'AUTO', 'connect_timeout': 10, 'default_week_format': 0, 'delay_key_write': 'ON', 'div_precision_increment': 4, 'end_markers_in_json': 'OFF', 'eq_range_index_dive_limit': 200, 'expire_logs_days': 0, 'explicit_defaults_for_timestamp': 'OFF', 'flush': 'OFF', 'flush_time': 0, 'ft_min_word_len': 4, 'ft_query_expansion_limit': 20, 'general_log': 'OFF', 'group_concat_max_len': 1000, 'host_cache_size': 0, 'innodb_adaptive_flushing': 'ON', 'innodb_adaptive_flushing_lwm': 10, 'innodb_adaptive_hash_index_parts': 8, 'innodb_adaptive_max_sleep_delay': 150000, 'innodb_api_bk_commit_interval': 5, 'innodb_api_disable_rowlock': 'OFF', 'innodb_api_enable_binlog': 'OFF', 'innodb_api_enable_mdl': 'OFF', 'innodb_autoextend_increment': 64, 'innodb_buffer_pool_size': 20615843020, 'innodb_change_buffer_max_size': 25, 'innodb_change_buffering': 'all', 'innodb_cmp_per_index_enabled': 'OFF', 'innodb_commit_concurrency': 0, 'innodb_compression_failure_threshold_pct': 5, 'innodb_compression_level': 6, 'innodb_compression_pad_pct_max': 50, 'innodb_concurrency_tickets': 5000, 'innodb_deadlock_detect': 'ON', 'innodb_default_row_format': 'DYNAMIC', 'innodb_disable_sort_file_cache': 'OFF', 'innodb_doublewrite': 'ON', 'innodb_file_per_table': 'ON', 'innodb_fill_factor': 100, 'innodb_flush_log_at_timeout': 1, 'innodb_flush_log_at_trx_commit': '1', 'innodb_flush_neighbors': '1', 'innodb_flush_sync': 'ON', 'innodb_flushing_avg_loops': 30, 'innodb_ft_cache_size': 8000000, 'innodb_ft_enable_diag_print': 'OFF', 'innodb_ft_enable_stopword': 'ON', 'innodb_ft_max_token_size': 84, 'innodb_ft_min_token_size': 3, 'innodb_ft_num_word_optimize': 2000, 'innodb_ft_result_cache_limit': 2000000000, 'innodb_ft_sort_pll_degree': 2, 'innodb_ft_total_cache_size': 640000000, 'innodb_io_capacity': 200, 'innodb_io_capacity_max': 400, 'innodb_log_buffer_size': 16777216, 'innodb_log_compressed_pages': 'ON', 'innodb_log_file_size': 50331648, 'innodb_log_files_in_group': 2, 'innodb_log_write_ahead_size': 8192, 'innodb_lru_scan_depth': 1024, 'innodb_max_dirty_pages_pct': 75, 'innodb_max_dirty_pages_pct_lwm': 0, 'innodb_max_purge_lag': 0, 'innodb_max_purge_lag_delay': 0, 'innodb_max_undo_log_size': 1073741000, 'innodb_old_blocks_time': 1000, 'innodb_online_alter_log_max_size': 134217000, 'innodb_open_files': 2000, 'innodb_optimize_fulltext_only': 'OFF', 'innodb_page_cleaners': 4, 'innodb_print_all_deadlocks': 'OFF', 'innodb_purge_batch_size': 300, 'innodb_purge_rseg_truncate_frequency': 128, 'innodb_purge_threads': 4, 'innodb_random_read_ahead': 'OFF', 'innodb_read_ahead_threshold': 56, 'innodb_read_io_threads': 4, 'innodb_replication_delay': 0, 'innodb_rollback_on_timeout': 'OFF', 'innodb_rollback_segments': 128, 'innodb_sort_buffer_size': 1048576, 'innodb_spin_wait_delay': 6, 'innodb_stats_auto_recalc': 'ON', 'innodb_stats_include_delete_marked': 'OFF', 'innodb_stats_method': 'nulls_equal', 'innodb_stats_on_metadata': 'OFF', 'innodb_stats_persistent': 'ON', 'innodb_stats_transient_sample_pages': 8, 'innodb_strict_mode': 'ON', 'innodb_sync_array_size': 1, 'innodb_sync_spin_loops': 30, 'innodb_table_locks': 'ON', 'innodb_thread_concurrency': 0, 'innodb_thread_sleep_delay': 10000, 'innodb_undo_log_truncate': 'OFF', 'innodb_use_native_aio': 'ON', 'innodb_write_io_threads': 4, 'join_buffer_size': 262144, 'keep_files_on_create': 'OFF', 'key_buffer_size': 8388608, 'key_cache_age_threshold': 300, 'key_cache_block_size': 1024, 'key_cache_division_limit': 100, 'local_infile': 'ON', 'log_bin_trust_function_creators': 'OFF', 'log_bin_use_v1_row_events': 'OFF', 'log_builtin_as_identified_by_password': 'OFF', 'log_output': 'FILE', 'log_queries_not_using_indexes': 'OFF', 'log_slave_updates': 'OFF', 'log_slow_admin_statements': 'OFF', 'log_statements_unsafe_for_binlog': 'ON', 'log_syslog_include_pid': 'ON', 'log_timestamps': 'UTC', 'long_query_time': 10, 'low_priority_updates': 'OFF', 'lower_case_table_names': 0, 'master_verify_checksum': 'OFF', 'max_allowed_packet': 4194304, 'max_binlog_cache_size': 18446744073709500000, 'max_binlog_size': 1073741824, 'max_binlog_stmt_cache_size': 18446744073709500000, 'max_connections': 1000, 'max_delayed_threads': 20, 'max_digest_length': 1024, 'max_error_count': 64, 'max_heap_table_size': 16777216, 'max_join_size': 18446744073709551615, 'max_length_for_sort_data': 1024, 'max_points_in_geometry': 65536, 'max_prepared_stmt_count': 16382, 'max_seeks_for_key': 18446744073709500000, 'max_sort_length': 1024, 'max_user_connections': 0, 'max_write_lock_count': 18446744073709500000, 'multi_range_count': 256, 'mysql_native_password_proxy_users': 'OFF', 'net_buffer_length': 16384, 'net_read_timeout': 30, 'net_write_timeout': 60, 'ngram_token_size': 2, 'offline_mode': 'OFF', 'old_alter_table': 'OFF', 'old_passwords': '0', 'open_files_limit': 50000, 'optimizer_prune_level': 1, 'optimizer_search_depth': 62, 'preload_buffer_size': 32768, 'query_alloc_block_size': 8192, 'query_cache_limit': 1048576, 'query_cache_min_res_unit': 4096, 'query_cache_size': 1048576, 'query_cache_wlock_invalidate': 'OFF', 'query_prealloc_size': 8192, 'range_alloc_block_size': 4096, 'read_buffer_size': 131072, 'read_rnd_buffer_size': 262144, 'require_secure_transport': 'OFF', 'session_track_gtids': 'OFF', 'session_track_schema': 'ON', 'session_track_state_change': 'OFF', 'session_track_transaction_info': 'OFF', 'show_compatibility_56': 'OFF', 'skip_external_locking': 'ON', 'skip_name_resolve': 'OFF', 'skip_networking': 'OFF', 'slow_query_log': 'OFF', 'sort_buffer_size': 262144, 'stored_program_cache': 256, 'sync_binlog': 1, 'sync_frm': 'ON', 'table_definition_cache': 1400, 'table_open_cache': 2000, 'table_open_cache_instances': 16, 'thread_cache_size': 0, 'tmp_table_size': 16777216, 'transaction_alloc_block_size': 8192, 'transaction_prealloc_size': 4096, 'updatable_views_with_limit': 'YES'}

[INFO] [2024-11-07 02:06:44,440] [autotune] Force close!
[INFO] [2024-11-07 02:06:44,524] [autotune] mysql is shut down
[INFO] [2024-11-07 02:06:44,530] [autotune] generated config file done
[INFO] [2024-11-07 02:06:44,556] [autotune] wait for connection
[INFO] [2024-11-07 02:07:15,617] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-07 02:07:16,620] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
